,cal_burned,steps,distance,floors,mins_sedentary,mins_light_activity,mins_fair_activity,mins_very_active,activity_cals,mins_total_activity
2018-08-27,4458.0,15714.0,7.48,15.0,608.0,259.0,9.0,96.0,2692.0,364.0
2018-08-28,3757.0,12569.0,5.93,14.0,717.0,218.0,8.0,58.0,1874.0,284.0
2018-08-29,3222.0,8559.0,4.04,16.0,853.0,166.0,4.0,35.0,1266.0,205.0
2018-08-30,3253.0,6682.0,3.15,7.0,793.0,234.0,14.0,9.0,1389.0,257.0
2018-08-31,4415.0,15415.0,7.46,17.0,744.0,211.0,8.0,104.0,2640.0,323.0
2018-09-01,3020.0,3952.0,1.86,7.0,798.0,133.0,13.0,5.0,852.0,151.0
2018-09-02,2918.0,3181.0,1.5,6.0,872.0,163.0,0.0,0.0,811.0,163.0
2018-09-03,2936.0,4743.0,2.24,6.0,754.0,155.0,8.0,15.0,915.0,178.0
2018-09-04,3201.0,7343.0,3.46,5.0,631.0,269.0,6.0,3.0,1374.0,278.0
2018-09-05,3395.0,7943.0,3.86,18.0,1040.0,184.0,16.0,33.0,1514.0,233.0
2018-09-06,2907.0,5641.0,2.66,5.0,746.0,195.0,0.0,0.0,983.0,195.0
2018-09-07,3829.0,9591.0,4.52,7.0,683.0,242.0,20.0,43.0,1922.0,305.0
2018-09-08,4031.0,13798.0,6.65,16.0,634.0,237.0,16.0,76.0,2230.0,329.0
2018-09-09,3682.0,9360.0,4.41,9.0,734.0,234.0,22.0,46.0,1872.0,302.0
2018-09-10,2977.0,5951.0,2.81,18.0,835.0,158.0,10.0,4.0,1002.0,172.0
2018-09-11,2824.0,4446.0,2.1,1.0,781.0,154.0,6.0,4.0,829.0,164.0
2018-09-12,3047.0,7512.0,3.54,6.0,676.0,179.0,17.0,13.0,1175.0,209.0
2018-09-13,3044.0,6480.0,3.06,10.0,885.0,190.0,1.0,13.0,1118.0,204.0
2018-09-14,3080.0,7021.0,3.31,3.0,871.0,179.0,18.0,7.0,1125.0,204.0
2018-09-15,3180.0,9445.0,4.45,77.0,849.0,134.0,23.0,51.0,1287.0,208.0
2018-09-16,3344.0,9015.0,4.25,102.0,586.0,184.0,30.0,38.0,1494.0,252.0
2018-09-17,2952.0,5628.0,2.65,2.0,990.0,134.0,24.0,13.0,985.0,171.0
2018-09-18,2997.0,6247.0,2.95,11.0,866.0,196.0,1.0,11.0,1074.0,208.0
2018-09-19,3044.0,7034.0,3.32,14.0,768.0,218.0,2.0,8.0,1195.0,228.0
